"","CRASH.DATE","CRASH.TIME","LATITUDE","LONGITUDE","NUMBER.OF.PERSONS.INJURED","NUMBER.OF.PERSONS.KILLED","CONTRIBUTING.FACTOR.VEHICLE.1","VEHICLE.TYPE.CODE.1","year"
"66","3/22/2024","18:00",40.682148,-73.92727,1,0,"Unspecified","Sedan","2024"
"67","3/21/2024","18:55",40.818146,-73.89929,0,0,"Animals Action","Sedan","2024"
"68","1/19/2024","20:00",40.75529,-73.99493,0,0,"Driver Inattention/Distraction","Sedan","2024"
"69","3/23/2024","17:00",40.668507,-73.92561,1,0,"Following Too Closely","Sedan","2024"
"70","3/25/2024","2:00",40.758,-73.737595,0,0,"Driver Inattention/Distraction","Sedan","2024"
"71","3/25/2024","16:56",40.830845,-73.947235,0,0,"Unspecified","Taxi","2024"
"72","3/26/2024","19:31",40.847996,-73.9347,1,0,"Passing Too Closely","Box Truck","2024"
"73","3/26/2024","7:22",40.75019,-73.81196,0,0,"Passing or Lane Usage Improper","Bus","2024"
"74","3/28/2024","22:00",40.727577,-73.74843,1,0,"Driver Inattention/Distraction","","2024"
"75","3/24/2024","23:47",40.87384,-73.90892,3,0,"Driver Inexperience","Sedan","2024"
"76","3/28/2024","12:32",40.69728,-73.987045,1,0,"Driver Inattention/Distraction","Box Truck","2024"
"77","3/30/2024","1:20",40.715317,-74.00537,1,0,"Pavement Defective","Motorcycle","2024"
"78","3/29/2024","10:39",40.707966,-73.99975,0,0,"Unsafe Lane Changing","Sedan","2024"
"79","3/31/2024","13:30",NA,NA,0,0,"Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle","2024"
"80","3/31/2024","18:20",40.86735,-73.827286,0,0,"Unspecified","Taxi","2024"
"81","3/24/2024","3:27",40.727844,-73.98223,1,0,"Unsafe Speed","Sedan","2024"
"82","3/31/2024","17:50",40.73821,-73.873116,0,0,"Unspecified","Sedan","2024"
"83","4/2/2024","14:39",40.749054,-73.95222,0,0,"Unspecified","Sedan","2024"
"84","3/30/2024","23:25",40.602272,-73.753365,1,0,"Driver Inattention/Distraction","","2024"
"85","3/13/2024","20:00",40.878586,-73.84395,0,0,"Backing Unsafely","Sedan","2024"
"86","3/22/2024","9:27",40.82414,-73.85925,1,0,"Following Too Closely","","2024"
"87","3/21/2024","19:17",40.65791,-73.83664,1,0,"Unspecified","Sedan","2024"
"88","3/21/2024","16:00",40.64046,-73.95918,0,0,"Unspecified","Sedan","2024"
"89","3/21/2024","7:40",40.73999,-73.86093,0,0,"Unspecified","Sedan","2024"
"90","3/22/2024","18:40",40.667076,-73.99508,1,0,"Unspecified","Sedan","2024"
"91","4/3/2024","8:54",40.696136,-73.8338,0,0,"Unspecified","Sedan","2024"
"92","4/7/2024","18:55",40.60389,-73.95349,1,0,"Unspecified","Moped","2024"
"93","4/5/2024","17:15",40.744278,-73.86561,1,0,"","","2024"
"94","3/30/2024","23:30",40.838406,-73.90429,0,0,"Unspecified","Sedan","2024"
"95","4/8/2024","8:00",40.67657,-74.01381,1,0,"Unspecified","Sedan","2024"
"96","4/5/2024","20:00",40.873257,-73.868935,0,0,"Unsafe Speed","Sedan","2024"
"97","3/29/2024","6:52",NA,NA,1,0,"Following Too Closely","Station Wagon/Sport Utility Vehicle","2024"
"98","4/8/2024","3:39",40.71582,-73.81759,0,0,"Unsafe Lane Changing","Sedan","2024"
"99","4/9/2024","2:09",40.678905,-73.9164,0,0,"Driver Inattention/Distraction","Dump","2024"
"100","4/9/2024","13:30",40.761806,-73.830055,1,0,"Unspecified","Sedan","2024"
"101","4/9/2024","15:24",40.708904,-73.787315,1,0,"Failure to Yield Right-of-Way","","2024"
"102","4/11/2024","10:30",40.825516,-73.873695,1,0,"Unspecified","Sedan","2024"
"103","4/13/2024","11:40",40.75682,-73.87355,0,0,"Unspecified","Sedan","2024"
"104","4/10/2024","10:00",40.671555,-73.987724,1,0,"Backing Unsafely","Van","2024"
"105","4/13/2024","16:00",40.735764,-73.97491,0,0,"Outside Car Distraction","Sedan","2024"
"106","4/14/2024","16:00",40.726013,-73.730965,0,0,"","","2024"
"107","4/15/2024","17:04",40.682003,-73.9687,1,0,"Failure to Yield Right-of-Way","Sedan","2024"
"108","4/15/2024","17:50",40.62788,-73.93251,0,0,"Unspecified","Sedan","2024"
"109","4/15/2024","2:10",40.725727,-73.90037,2,0,"Pavement Slippery","Sedan","2024"
"110","2/22/2024","11:45",NA,NA,2,0,"Following Too Closely","Station Wagon/Sport Utility Vehicle","2024"
"111","4/12/2024","18:45",40.69181,-73.85119,1,0,"Unspecified","Bike","2024"
