"","CRASH.DATE","CRASH.TIME","LATITUDE","LONGITUDE","NUMBER.OF.PERSONS.INJURED","NUMBER.OF.PERSONS.KILLED","CONTRIBUTING.FACTOR.VEHICLE.1","VEHICLE.TYPE.CODE.1","year"
"1","12/18/2023","3:40",40.7466,-73.76503,0,0,"Pavement Slippery","Station Wagon/Sport Utility Vehicle","2023"
"2","12/18/2023","11:10",40.722576,-73.94049,0,0,"Following Too Closely","Sedan","2023"
"3","11/17/2023","23:20",40.71664,-73.97561,0,0,"Unsafe Lane Changing","PK","2023"
"4","12/18/2023","7:26",40.666878,-73.94522,2,0,"Unsafe Speed","Sedan","2023"
"5","12/15/2023","23:41",40.764904,-73.998146,2,0,"Unspecified","Taxi","2023"
"6","12/18/2023","14:30",40.735638,-73.99488,2,0,"Driver Inattention/Distraction","Sedan","2023"
"7","12/18/2023","8:17",40.82581,-73.88015,0,0,"Passing or Lane Usage Improper","Sedan","2023"
"8","12/18/2023","8:37",40.846657,-73.89619,0,0,"Unspecified","Van","2023"
"9","12/17/2023","23:55",40.789032,-73.78797,0,0,"Unsafe Speed","Station Wagon/Sport Utility Vehicle","2023"
"10","12/18/2023","4:56",40.728436,-74.00279,0,0,"Unspecified","Station Wagon/Sport Utility Vehicle","2023"
"11","12/18/2023","19:40",40.67767,-73.80334,0,0,"Other Vehicular","Sedan","2023"
"12","12/18/2023","20:05",NA,NA,0,0,"Traffic Control Disregarded","Pick-up Truck","2023"
"13","12/21/2023","16:54",40.7578,-73.92326,2,0,"Unspecified","Sedan","2023"
"14","12/14/2023","10:04",40.63169,-73.95266,1,0,"Unspecified","Sedan","2023"
"15","12/19/2023","17:00",NA,NA,0,0,"Unsafe Speed","Sedan","2023"
"16","12/19/2023","14:00",40.693703,-73.98474,0,0,"Driver Inattention/Distraction","Sedan","2023"
"17","12/19/2023","20:23",40.650387,-73.95872,1,0,"Driver Inattention/Distraction","Sedan","2023"
"18","7/23/2023","14:35",40.75458,-73.99915,0,0,"Failure to Yield Right-of-Way","Sedan","2023"
"19","7/13/2023","11:30",40.75123,-73.9366,0,0,"Driver Inattention/Distraction","Sedan","2023"
"20","7/18/2023","22:30",40.851696,-73.932,0,0,"Unsafe Lane Changing","Station Wagon/Sport Utility Vehicle","2023"
"21","12/22/2023","20:57",40.615433,-73.91388,1,0,"Driver Inattention/Distraction","Sedan","2023"
"22","12/20/2023","6:50",40.884045,-73.87768,0,0,"Driver Inattention/Distraction","Sedan","2023"
"23","12/21/2023","14:55",40.709026,-73.81333,0,0,"Unspecified","Station Wagon/Sport Utility Vehicle","2023"
"24","12/20/2023","7:40",40.781506,-73.962685,1,0,"Pavement Slippery","Bike","2023"
"25","12/21/2023","12:47",40.643944,-74.00234,0,0,"Driver Inattention/Distraction","Motorbike","2023"
"26","11/27/2023","9:35",40.721947,-73.814445,0,0,"Unspecified","Sedan","2023"
