"","CRASH.DATE","CRASH.TIME","LATITUDE","LONGITUDE","NUMBER.OF.PERSONS.INJURED","NUMBER.OF.PERSONS.KILLED","CONTRIBUTING.FACTOR.VEHICLE.1","VEHICLE.TYPE.CODE.1","year"
"27","12/22/2023","20:10",NA,NA,0,0,"Backing Unsafely","Sedan","2023"
"28","12/9/2023","4:30",40.85638,-73.82631,1,0,"Other Vehicular","Sedan","2023"
"29","12/21/2023","7:57",40.714066,-73.95163,1,0,"Failure to Yield Right-of-Way","","2023"
"30","12/12/2023","21:13",40.654316,-73.922165,0,0,"Unspecified","Sedan","2023"
"31","12/21/2023","15:44",40.859154,-73.86753,2,0,"Reaction to Uninvolved Vehicle","Sedan","2023"
"32","12/22/2023","19:11",40.869694,-73.86723,1,0,"Unspecified","Taxi","2023"
"33","12/22/2023","19:09",40.607655,-73.7543,0,0,"Unspecified","Sedan","2023"
"34","12/20/2023","16:00",40.64327,-74.00273,0,0,"Backing Unsafely","Station Wagon/Sport Utility Vehicle","2023"
"35","12/21/2023","8:25",40.73524,-73.82394,0,0,"Following Too Closely","Sedan","2023"
"36","12/20/2023","4:20",40.69245,-73.811005,0,0,"Unsafe Lane Changing","Tractor Truck Diesel","2023"
"37","12/20/2023","8:50",40.736435,-73.836586,0,0,"Pavement Slippery","Bus","2023"
"38","7/22/2023","13:45",NA,NA,0,0,"Passing or Lane Usage Improper","Sedan","2023"
"39","7/20/2023","22:00",40.601273,-74.075165,0,0,"","","2023"
"40","7/18/2023","23:49",40.71683,-73.99682,1,0,"Failure to Yield Right-of-Way","Sedan","2023"
"41","7/23/2023","12:00",40.672142,-73.7612,0,0,"Following Too Closely","Station Wagon/Sport Utility Vehicle","2023"
"42","7/23/2023","19:40",40.750816,-73.7236,1,0,"Lost Consciousness","Sedan","2023"
"43","12/15/2023","22:55",40.715973,-73.77111,1,0,"Passing Too Closely","Sedan","2023"
"44","7/10/2023","9:00",40.745068,-73.936356,2,0,"Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle","2023"
"45","7/12/2023","22:42",40.691456,-73.98735,1,0,"Passenger Distraction","Sedan","2023"
"46","7/23/2023","21:00",40.681274,-73.81162,0,0,"Passing Too Closely","Sedan","2023"
"47","7/23/2023","20:38",40.8188,-73.956024,1,0,"Driver Inattention/Distraction","Sedan","2023"
"48","7/23/2023","15:00",40.69508,-73.85888,0,0,"Passing or Lane Usage Improper","Sedan","2023"
"49","7/23/2023","17:20",40.632317,-73.94711,1,0,"Driver Inattention/Distraction","Taxi","2023"
"50","7/23/2023","10:50",40.677715,-73.93587,1,0,"Passing or Lane Usage Improper","Sedan","2023"
"51","12/15/2023","3:27",40.8995,-73.857,0,0,"Alcohol Involvement","Sedan","2023"
"52","7/23/2023","1:00",40.691765,-73.99992,0,0,"Failure to Yield Right-of-Way","Taxi","2023"
"53","7/23/2023","19:00",40.64909,-73.94939,0,0,"Unspecified","Sedan","2023"
"54","7/18/2023","0:10",40.848343,-73.931404,0,0,"Unsafe Speed","Sedan","2023"
"55","7/23/2023","16:08",NA,NA,2,0,"Unspecified","Sedan","2023"
"56","7/20/2023","18:32",40.65067,-73.95248,1,0,"","","2023"
"57","12/21/2023","19:42",40.74743,-73.925476,0,0,"Following Too Closely","Pick-up Truck","2023"
"58","12/21/2023","11:23",40.86778,-73.83482,1,0,"Unsafe Speed","","2023"
"59","12/20/2023","18:40",40.68984,-73.97863,0,0,"Oversized Vehicle","Tractor Truck Diesel","2023"
"60","12/21/2023","0:05",40.87512,-73.91042,1,0,"Traffic Control Disregarded","Sedan","2023"
"61","12/21/2023","14:30",40.757576,-73.76798,0,0,"Passing Too Closely","Sedan","2023"
"62","7/22/2023","20:12",40.861404,-73.87059,2,0,"Driver Inattention/Distraction","Sedan","2023"
"63","11/18/2023","18:16",40.680477,-73.92229,1,0,"Unspecified","Bike","2023"
"64","12/22/2023","22:34",40.80562,-73.97069,3,0,"Unsafe Lane Changing","Sedan","2023"
"65","12/22/2023","21:13",40.730877,-73.9829,0,0,"Driver Inattention/Distraction","Sedan","2023"
"66","7/3/2023","17:05",40.848118,-73.93089,1,0,"View Obstructed/Limited","Moped","2023"
"67","7/23/2023","8:00",40.66705,-73.77417,2,0,"Unspecified","Station Wagon/Sport Utility Vehicle","2023"
"68","12/17/2023","17:25",40.636066,-74.13613,0,0,"Passenger Distraction","Sedan","2023"
"69","7/23/2023","13:50",40.7736,-73.98158,0,0,"Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle","2023"
"70","7/23/2023","20:55",40.68789,-73.936035,1,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","Sedan","2023"
"71","7/23/2023","20:40",40.702045,-73.9156,0,0,"Traffic Control Disregarded","Sedan","2023"
"72","7/23/2023","1:35",NA,NA,0,0,"Alcohol Involvement","Sedan","2023"
"73","7/23/2023","9:25",NA,NA,0,0,"Unspecified","Station Wagon/Sport Utility Vehicle","2023"
"74","7/22/2023","7:30",40.616413,-74.103516,0,0,"Following Too Closely","Sedan","2023"
"75","7/23/2023","16:46",40.853474,-73.906456,1,0,"Unsafe Speed","Sedan","2023"
"76","7/23/2023","5:27",40.63874,-73.89085,0,0,"Driver Inattention/Distraction","Sedan","2023"
"77","7/19/2023","8:09",40.604015,-73.819916,1,0,"Lost Consciousness","Station Wagon/Sport Utility Vehicle","2023"
"78","7/23/2023","9:50",40.759674,-73.931786,0,0,"Unspecified","Sedan","2023"
"79","7/23/2023","15:04",40.726887,-73.78826,1,0,"Following Too Closely","Station Wagon/Sport Utility Vehicle","2023"
"80","7/21/2023","13:10",40.71437,-73.946075,1,0,"Unspecified","Sedan","2023"
"81","7/12/2023","19:25",40.634113,-73.99666,1,0,"Unspecified","Station Wagon/Sport Utility Vehicle","2023"
"82","7/22/2023","0:00",40.71082,-73.96853,0,0,"Passing Too Closely","Tractor Truck Gasoline","2023"
"83","7/12/2023","21:40",40.54822,-74.1717,0,0,"Passenger Distraction","Sedan","2023"
"84","7/23/2023","19:20",40.845493,-73.883484,9,0,"Unsafe Speed","Sedan","2023"
"85","7/23/2023","9:30",40.64485,-73.96002,1,0,"Unspecified","Station Wagon/Sport Utility Vehicle","2023"
"86","7/23/2023","22:50",40.8801,-73.85799,1,0,"Turning Improperly","Sedan","2023"
"87","7/23/2023","15:55",40.621635,-74.009636,1,0,"Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle","2023"
"88","7/22/2023","1:30",40.70066,-73.98775,0,0,"Driver Inattention/Distraction","Taxi","2023"
"89","7/23/2023","11:18",40.756355,-73.82578,1,0,"Failure to Yield Right-of-Way","Bike","2023"
"90","7/23/2023","0:40",40.5891,-73.94458,0,0,"Unspecified","Sedan","2023"
"91","7/23/2023","3:20",40.812737,-73.93762,0,0,"Driver Inattention/Distraction","Pick-up Truck","2023"
"92","7/22/2023","20:37",40.617973,-73.92484,0,0,"Unspecified","Sedan","2023"
"93","6/10/2023","1:35",40.865795,-73.920006,1,0,"Turning Improperly","Bike","2023"
"94","7/23/2023","21:52",40.749863,-73.8224,0,0,"Following Too Closely","Taxi","2023"
"95","7/21/2023","18:30",40.712353,-74.01549,1,0,"Unspecified","Sedan","2023"
"96","7/23/2023","14:55",40.810207,-73.93951,0,0,"Unspecified","Ambulance","2023"
"97","5/5/2023","19:10",40.65418,-73.91072,1,0,"Failure to Yield Right-of-Way","Sedan","2023"
"98","7/23/2023","4:15",40.666695,-73.767136,0,0,"Traffic Control Disregarded","Sedan","2023"
"99","7/20/2023","14:00",40.662327,-73.92435,0,0,"Unspecified","Station Wagon/Sport Utility Vehicle","2023"
"100","7/23/2023","17:30",40.768795,-73.73708,1,0,"Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle","2023"
"101","7/21/2023","23:20",40.653786,-73.94411,0,0,"Traffic Control Disregarded","Sedan","2023"
"102","6/10/2023","13:44",40.85209,-73.93078,0,0,"Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle","2023"
"103","7/19/2023","9:40",40.817513,-73.91712,0,0,"Unspecified","Bus","2023"
"104","7/13/2023","18:22",40.544632,-74.19527,1,0,"Animals Action","Station Wagon/Sport Utility Vehicle","2023"
"105","7/18/2023","13:04",40.882153,-73.878136,0,0,"Other Vehicular","Pick-up Truck","2023"
"106","7/23/2023","15:44",40.652927,-73.959335,2,0,"Following Too Closely","Box Truck","2023"
"107","7/23/2023","20:41",40.574802,-73.97353,2,0,"Turning Improperly","Sedan","2023"
"108","7/18/2023","15:30",40.74942,-73.940544,0,0,"Unspecified","Sedan","2023"
"109","7/23/2023","19:59",40.788315,-73.9765,0,0,"Driver Inattention/Distraction","Bus","2023"
"110","7/23/2023","1:46",40.735424,-73.974754,0,0,"Following Too Closely","Station Wagon/Sport Utility Vehicle","2023"
"111","5/17/2023","22:00",40.85891,-73.922966,0,0,"Unspecified","Sedan","2023"
"112","7/23/2023","20:40",40.606457,-73.76098,0,0,"Unspecified","Station Wagon/Sport Utility Vehicle","2023"
"113","4/29/2023","18:27",NA,NA,1,0,"Failure to Yield Right-of-Way","Station Wagon/Sport Utility Vehicle","2023"
"114","7/9/2023","22:22",40.902958,-73.896416,2,0,"Unspecified","Sedan","2023"
"115","11/27/2023","15:00",40.73809,-73.904594,3,0,"Following Too Closely","Station Wagon/Sport Utility Vehicle","2023"
"116","12/9/2023","11:49",40.682827,-73.82725,3,0,"Following Too Closely","Sedan","2023"
"117","12/11/2023","10:05",40.698544,-73.96236,0,0,"Following Too Closely","Sedan","2023"
"118","12/22/2023","15:30",40.772045,-73.87623,0,0,"Driver Inattention/Distraction","Sedan","2023"
"119","12/11/2023","17:40",40.894653,-73.882484,1,0,"Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle","2023"
"120","12/15/2023","16:40",40.8375,-73.91061,0,0,"Passing or Lane Usage Improper","Sedan","2023"
"121","12/13/2023","12:00",40.76394,-73.828156,1,0,"Unspecified","Station Wagon/Sport Utility Vehicle","2023"
"122","12/7/2023","10:20",40.728016,-74.000015,0,0,"Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle","2023"
"123","12/12/2023","14:11",40.791744,-73.94717,0,0,"Passing Too Closely","Station Wagon/Sport Utility Vehicle","2023"
"124","12/13/2023","16:30",40.679184,-73.920586,0,0,"Driver Inexperience","Sedan","2023"
"125","12/15/2023","15:03",40.87184,-73.876076,1,0,"Turning Improperly","Station Wagon/Sport Utility Vehicle","2023"
"126","12/13/2023","19:48",40.68366,-73.90788,0,0,"Alcohol Involvement","Sedan","2023"
"127","12/13/2023","0:36",40.810474,-73.924034,0,0,"Passing Too Closely","Sedan","2023"
"128","12/14/2023","8:50",40.655487,-73.94331,0,0,"Unspecified","Station Wagon/Sport Utility Vehicle","2023"
"129","12/12/2023","7:52",40.873222,-73.80849,0,0,"Pavement Slippery","Sedan","2023"
"130","12/15/2023","0:35",40.887444,-73.878006,0,0,"Passing Too Closely","Sedan","2023"
"131","12/14/2023","9:10",40.699997,-73.95723,1,0,"Driver Inattention/Distraction","E-Bike","2023"
"132","12/13/2023","13:50",40.68218,-73.94659,1,0,"Turning Improperly","","2023"
"133","12/14/2023","13:27",40.794735,-73.96988,0,0,"Unspecified","Taxi","2023"
"134","12/14/2023","12:00",40.588886,-73.965645,0,0,"Other Vehicular","Sedan","2023"
"135","12/15/2023","17:00",40.669518,-73.90784,0,0,"Unspecified","Sedan","2023"
"136","12/15/2023","23:59",40.74917,-73.86923,0,0,"Alcohol Involvement","Sedan","2023"
"137","12/13/2023","7:54",40.667156,-73.9101,0,0,"Passing Too Closely","Sedan","2023"
"138","12/5/2023","13:00",40.704964,-74.01172,0,0,"Following Too Closely","Sedan","2023"
"139","12/13/2023","14:00",40.749786,-73.98778,0,0,"Following Too Closely","Sedan","2023"
"140","12/23/2023","3:39",40.78542,-73.98399,1,0,"Unsafe Speed","Station Wagon/Sport Utility Vehicle","2023"
"141","12/21/2023","12:35",40.692345,-73.88179,0,0,"Following Too Closely","Pick-up Truck","2023"
"142","12/21/2023","22:32",40.760494,-73.8614,0,0,"Unsafe Speed","Sedan","2023"
"143","12/16/2023","16:50",40.8037,-73.93582,1,0,"Unspecified","Sedan","2023"
"144","12/23/2023","14:50",40.7441,-73.97637,1,0,"Driver Inattention/Distraction","Bike","2023"
"145","12/23/2023","19:04",40.69613,-73.74328,0,0,"Driver Inattention/Distraction","Sedan","2023"
"146","12/13/2023","19:06",40.81053,-73.96206,0,0,"Unspecified","Station Wagon/Sport Utility Vehicle","2023"
"147","12/13/2023","8:40",40.646553,-74.01575,0,0,"Passing or Lane Usage Improper","Sedan","2023"
"148","12/22/2023","12:58",40.76769,-73.93619,0,0,"Passing Too Closely","Sedan","2023"
"149","12/23/2023","20:50",40.787117,-73.94793,1,0,"Failure to Yield Right-of-Way","","2023"
"150","12/15/2023","8:40",40.72106,-73.75945,1,0,"Driver Inattention/Distraction","","2023"
"151","12/22/2023","11:14",40.60375,-73.94928,0,0,"Unspecified","garbage tr","2023"
"152","12/22/2023","16:00",NA,NA,0,0,"Following Too Closely","Station Wagon/Sport Utility Vehicle","2023"
"153","12/12/2023","21:22",40.60107,-73.76127,0,0,"Unsafe Speed","Station Wagon/Sport Utility Vehicle","2023"
"154","12/21/2023","19:25",40.68821,-73.96583,1,0,"","","2023"
"155","12/22/2023","4:30",40.729355,-73.87738,0,0,"Traffic Control Disregarded","Sedan","2023"
"156","12/14/2023","0:37",40.626766,-73.993546,1,0,"Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle","2023"
"157","12/13/2023","20:14",40.5916,-73.960686,1,0,"Unspecified","Moped","2023"
"158","10/31/2023","21:49",NA,NA,0,0,"Driver Inattention/Distraction","Sedan","2023"
"159","12/15/2023","6:10",40.634483,-73.91886,1,0,"Obstruction/Debris","Bike","2023"
"160","12/9/2023","8:20",40.70646,-73.753586,0,0,"Other Vehicular","Sedan","2023"
"161","12/15/2023","16:06",40.62417,-73.97048,0,0,"Unspecified","Sedan","2023"
"162","12/14/2023","23:44",40.62598,-73.893074,0,0,"Other Vehicular","Sedan","2023"
"163","12/13/2023","16:56",40.688946,-73.85322,1,0,"Unspecified","Bus","2023"
"164","12/11/2023","17:20",40.844944,-73.917404,0,0,"Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle","2023"
"165","12/11/2023","14:17",40.72714,-73.792305,1,0,"Driver Inattention/Distraction","Sedan","2023"
"166","12/23/2023","10:53",40.62573,-73.9564,1,0,"Driver Inattention/Distraction","Sedan","2023"
